상품명,브랜드,가격,상품URL,이미지URL
"""강아지 보양식선물"" [보양식 세트] 더리얼 레시피 삼계탕 200g*2팩 + 완자탕 200g*2팩 (총 4팩)",하림펫푸드,"23,900원",https://gift.kakao.com/product/1177914,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""반려견 선물⭐"" [인기상품] 강아지 야간산책 LED펜던트 (2종 택1)",위글위글펫,"16,300원",https://gift.kakao.com/product/6315050,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""산책템"" 아웃케어 세트(버그아웃 라이트 클립+아웃케어 쉴드 미스트) 강아지 해충방지",페스룸,"27,900원",https://gift.kakao.com/product/5404864,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""댕댕이가 심쿵하는"" [선물하기단독] 더리얼 강아지 간식 5종 선물세트",하림펫푸드,"23,700원",https://gift.kakao.com/product/6808456,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
참알찬 삼첩반상 도시락 강아지 장난감 세트 (삑삑/바스락/노즈워크),바잇미,"16,900원",https://gift.kakao.com/product/5405675,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[바잇미X포코리프렌즈] 어드벤처 강아지 목줄&리쉬 SET (3 colors),바잇미,"40,320원",https://gift.kakao.com/product/9781224,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[고양이 선물] 순무 바스락 팝콘 초대형 숨숨집,바잇미,"10,000원",https://gift.kakao.com/product/5405700,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"댕댕이의 친구, 나의 애착인형 장난감 (노즈워크/삑삑/바스락)",바잇미,"14,900원",https://gift.kakao.com/product/5038472,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240307181636_04bcba52c01248c0baf86ddbcda1b6db.jpg
스무스 마틴게일 카라 38MM_밀키웨이,아이캔더,"35,000원",https://gift.kakao.com/product/10862074,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20241202161744_434ad4b1d5604ea291b8e776fdfbc4cf.jpg
[고기 야채 과일이 듬뿍!] 더리얼 크런치 닭고기 어덜트 1.6kg,하림펫푸드,"33,000원",https://gift.kakao.com/product/1178972,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20230620211107_9d7d3b063c0348f3a88f522b21687f6f.jpg
"""치카세트 선물"" 강아지 고양이 칫솔+치약 세트 4종 택1",페스룸,"20,900원",https://gift.kakao.com/product/9436234,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240312165421_049d48e549574f2fa7de8a73387213e3.jpg
"""봄기운 물씬!"" 베니즈 리버티 크롭 탑 강아지옷 봄 여름 옷 옐로우/스카이블루 (S~XL)",베니즈(의류),"19,900원",https://gift.kakao.com/product/11337354,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250314171917_734637b9937742c1bcf42aaec2c10c55.jpg
"""심콩이야"" 베니즈 팝핑 크롭 탑 강아지봄옷 여름옷 화이트/옐로우 (S~XL)",베니즈(의류),"19,900원",https://gift.kakao.com/product/11337303,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250314171531_1e7ae796706b4d1ba0f8244d9560961c.jpg
"""귀여움폭발"" 베니즈 플라잉 독 크롭 탑 봄옷 실내복 여름 강아지 옷 화이트/스카이블루 (S~XL)",베니즈(의류),"19,900원",https://gift.kakao.com/product/11337146,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250314165622_8ca947e3f1cf42acbb9d11782195c096.jpg
"""강아지 쿠키"" ""내가 만든 쿠키"" 밥이보약 DOG 건강쿠키 120g*5개 (+양갱 10g*2개 증정)",하림펫푸드,"20,000원",https://gift.kakao.com/product/6410881,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250402104042_17f30c872afe47aaa509b493f5061df0.jpg
"""한 입에 물기 좋은 말랑말랑"" 알콩땅콩 라텍스 장난감 (4개입)",바잇미,"11,900원",https://gift.kakao.com/product/11113484,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F8monZVzfvbhEbighMHJHoQ%2FG35b0WcLRofsF2YGwu9W7r7d4fJZXYrr-k8oUIZMtW8.jpg
바잇미X삼진어묵 뜨끈한 어묵탕 노즈워크 장난감 (삑삑/바스락/노즈워크),바잇미,"19,000원",https://gift.kakao.com/product/6290815,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20221213175204_c05105ac0f5e462cbc2931b586b8220c.jpg
상큼 시원한 레몬에이드 장난감 (노즈워크/삑삑/바스락),바잇미,"17,900원",https://gift.kakao.com/product/5038096,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20220701164918_ffb13aad364b4da5b8264a67f36c476c.jpg
"""쿨링 쿨 나시!"" [베니즈] ""해충방지 쿨링 쿨 강아지옷"" 통기성이 좋은 슈슈 쿨 크롭 탑 핑크/옐로우 (S~XL)",베니즈(의류),"16,900원",https://gift.kakao.com/product/9261071,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240223175827_d8f52a25329e4b3695eb5c706f8fb875.jpg
펫빈백 방석 XL 펫소파/강아지방석/쿠션/애견방석,울리,"37,900원",https://gift.kakao.com/product/7511815,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""강아지 간식"" [댕댕이 짜장면] 더리얼 유니자장면 70g",하림펫푸드,"6,300원",https://gift.kakao.com/product/6713905,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[유기동물후원] 월간바잇미 10월호 - 니트 코스터 (dog/cat),바잇미,"11,900원",https://gift.kakao.com/product/7973939,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
펫빈백 방석 M 펫소파/강아지방석/쿠션/애견방석,울리,"19,900원",https://gift.kakao.com/product/2314733,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"강아지 고양이 츄르 영양 보조 간식 ""부스틱"" (닭/오리/연어&닭)",바잇미,"10,900원",https://gift.kakao.com/product/5232314,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""착용감이편한"" 디즈니 빕 강아지티셔츠 강아지옷 실내복 외출복 애견의류 (S~XL)",베니즈(의류),"28,900원",https://gift.kakao.com/product/10728902,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""산책을 즐겁게!"" 컬러팝 풉백 산화생분해 배변봉투 120매",바잇미,"11,900원",https://gift.kakao.com/product/11113485,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""털관리 필수템"" 힐링 브러쉬 강아지 고양이 죽은털제거 빗",페스룸,"21,900원",https://gift.kakao.com/product/2077022,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[단독] 도전! 노즈워크 챌린지 장난감&간식 세트,바잇미,"34,900원",https://gift.kakao.com/product/11167718,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250214184733_6fcafeb3e1254de7b6ef763a87a0a80b.jpeg
"""대형/중형/소형"" ""강아지 산책"" 피카노리 프리미엄 유모차 반려견 애견유모차 반려동물유모차 노령견 펫모차 개모차",피카노리,"229,000원",https://gift.kakao.com/product/2070808,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20220610172600_3a01fa6fa88c463c8a09ec4f44963de1.jpg
"""핵졸귀 선물만족도100%"" 베니즈 엔젤릭 벌룬 강아지티셔츠 봄옷 강아지여름옷 화이트/핑크 (S~XL)",베니즈(의류),"26,900원",https://gift.kakao.com/product/11343465,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250317130629_67786766c25e427a9d8554dcb701b5b3.jpg
[강아지 발씻자] [발을씻자X시리우스] 강아지 발씻자 풋샴푸 270ml + 시리우스 비프 스테이크 스틱 22g 증정,발을씻자(펫),"10,900원",https://gift.kakao.com/product/9968103,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250211142649_d543c64404f54dc0953fd303d3fe0bce.jpg
"""강아지간식"" 페페로니 진짜 오메가3 연어 2개+소고기 2개 세트",페페로니,"22,000원",https://gift.kakao.com/product/5008924,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250305101838_e1ab1d1a16764407a4b4f6bc126ed014.jpg
"""고양이최애장난감"" 캣츠케이크 자동장난감",바잇미,"32,900원",https://gift.kakao.com/product/8177408,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240812165448_9c8324b76e874184a1b099970e825fa8.jpg
3단계 속도 전환 가능! 캐치더마우스 고양이 자동 장난감,바잇미,"31,900원",https://gift.kakao.com/product/6352435,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240802112449_3907742c20c14058a4aa40c45f14dc33.jpg
"""강아지 장난감"" 고기는 뜯어야 제 맛! 바베큐 고기 장난감 (노즈워크/삑삑/바스락)",바잇미,"12,900원",https://gift.kakao.com/product/5038086,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20220701164424_ad9e7983338d4da59f00ef6423814052.jpg
우리 강아지 닮은꼴 찾기! 강아지참 장난감/키링 (삑삑),바잇미,"8,000원",https://gift.kakao.com/product/5261279,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20220722144349_0b82046c579c4a579fc000f1d8d57909.jpg
"""놀이와 간식을 한 번에!"" 바잇미 젤리곰 실리콘 노즈워크 볼 (3 colors)",바잇미,"7,900원",https://gift.kakao.com/product/10790935,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20241115184917_4c4f7b710b3041a796fcaa118c4c843a.jpg
"""산책필수품"" 강아지 발을 씻자 티슈형 8팩(티슈형 80매X8팩) + 쇼핑백 + 스테이크 스틱 22g 간식 증정",발을씻자(펫),"21,900원",https://gift.kakao.com/product/10886596,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250324150835_60a05dbd7abb415093a81f4f9be19a35.jpg
"""칭찬을 선물하세요"" 와그작 건강한 칭찬간식 선물세트 16개입(4종*4P)",와그작,"22,000원",https://gift.kakao.com/product/3666159,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20211129003639_416adef6b7894d1aac0bb4d8c16b7b6b.jpg
[하림펫푸드x더미식] 더리얼 닭고기 만두 100g,하림펫푸드,"6,200원",https://gift.kakao.com/product/7946634,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""자동급식기는 두잇"" 더테이블 플러스 반려동물 스마트 자동급식기",두잇,"144,000원",https://gift.kakao.com/product/5851001,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""외출이 쉬워요~"" 메쉬 백팩+캐리어",도그웨그,"49,900원",https://gift.kakao.com/product/3797885,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""강아지선물"" 따끈따끈 베이커리 장난감세트 6종 선물포장 (노즈워크/삑삑/바스락)",울리,"15,900원",https://gift.kakao.com/product/11263037,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[우리댕댕이 생일축하해] 더리얼 레시피 단치킨 케이크 300g (+귀여운 하트초 증정),하림펫푸드,"14,500원",https://gift.kakao.com/product/1186354,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""강아지 고양이 미용"" 피카노리 마이티 프라임 애견이발기 강아지 바리깡 애견 미용 (ZP1620/ZP1621)",피카노리,"39,800원",https://gift.kakao.com/product/1194503,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
"""하루종일 함께 놀고 싶은"" 바잇미 런런 딸랑이 장난감 - 버니/퍼피 (삑삑/바스락/터그)",바잇미,"11,900원",https://gift.kakao.com/product/11478150,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[발을씻자X시리우스] 강아지 발씻자 티슈형 4팩 (강아지용 물티슈 80매 X 4팩) + 쇼핑백 증정,발을씻자(펫),"11,900원",https://gift.kakao.com/product/10886575,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[바삭한 식감] 더리얼 그레인프리 크런치 소고기 어덜트 1.6kg,하림펫푸드,"34,000원",https://gift.kakao.com/product/1178918,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240315152432_4297da62c4094a42b03f5fd0f0e83b40.jpg
"""진짜간식 요기있어요"" Gift box 페페로니 진짜 시리즈 5개 SET 연어+소고기+닭고기+그래미역+이게고구마",페페로니,"32,800원",https://gift.kakao.com/product/6999492,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20230421113103_12368babbd814832a53beb8d1fcfc2ac.jpg
"""너만큼 짱 귀여워!"" 베니즈 쁘띠 최애 강아지장난감 (도기,버니,키티) 삑삑이 3종 중 1택",베니즈(의류),"8,000원",https://gift.kakao.com/product/10855724,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250204171043_b59f190b14424e468683ca4e441c2dd6.jpg
"""똑똑해지는 필수템"" 바잇미 브레이닝 다람쥐 토이 + 스몰바이트 SET",바잇미,"34,900원",https://gift.kakao.com/product/11266295,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250313144206_a39f81bbcdfc46dd948a8e74d6bf2dff.png
"""선물만족도 97%"" [고양이 선물/집사 필수품] 피카노리 선인장 토이볼 스크래쳐 PECA3723",피카노리,"22,900원",https://gift.kakao.com/product/2918801,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20210528154325_be1f7bf8901c45cc9fcaec6f230e81ad.jpg
"""장마철 산책 필수템"" 강아지 우비 망토 판초 레인코트",울리,"20,900원",https://gift.kakao.com/product/9837181,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240524112434_eea23d5e54dd4e4bad74aa67b4000f1d.jpg
"""사랑스러움이 가득!"" 베니즈 리보니 크롭 탑 강아지 봄옷 여름 옷 핑크/아이보리 (S~XL)",베니즈(의류),"19,900원",https://gift.kakao.com/product/11337222,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250314170720_475113fa691644109ab0e26c2dcd8a5c.jpg
"""러블리함이 가득"" 베니즈 푸딩 벌룬 탑 강아지옷 실내복 여름 봄옷 옐로우/스카이블루 (S~XL)",베니즈(의류),"19,900원",https://gift.kakao.com/product/11337204,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20250314170301_af3232e30eab4c51b311c75bd641ceaa.jpg
"""동결건조"" 데일리 트릿 3종 택1 강아지 고양이 간식",페스룸,"19,900원",https://gift.kakao.com/product/9296741,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240229192027_3ba4851008294da0a6546f31090f6cde.jpg
[말랑한 간식세트] 밥이보약 냥냥이 하루양갱 간식세트 (5종 택1),하림펫푸드,"19,000원",https://gift.kakao.com/product/9795404,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20241024091304_42831c4329a948538f702189ef652980.jpg
"""귀여움과 사랑스러움이 한번에! "" 베니즈 샤이 버니 티셔츠 강아지옷 스카이블루/핑크 (S~XL)",베니즈(의류),"18,900원",https://gift.kakao.com/product/10631539,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20241017194336_82895ebe5e92458cbbb5f6933a23cfe5.jpg
"""엉킨털 관리"" 힐링 슬리커 브러쉬 반려동물 죽은털제거 빗",페스룸,"20,900원",https://gift.kakao.com/product/6516658,https://img1.kakaocdn.net/thumb/C305x305@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fproduct%2Fgift%2Fproduct%2F20240229152631_00e78946b795466f9d8e9c0f8f177ff0.jpg
"""고양이 발톱 최적화"" 스마트 네일 클리퍼 고양이 원형 안전한 발톱깎이",페스룸,"18,900원",https://gift.kakao.com/product/2383492,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
[1+1] 알러지프리/저칼로리 크런치팝&요거코코 시리얼 (2종),바잇미,"15,900원",https://gift.kakao.com/product/7563798,https://st.kakaocdn.net/commerce_ui/static/common_module/default_fallback_thumbnail.png
